cursor_motion dense_cells light_cells medium_cells scrolling scrolling_bottom_region scrolling_bottom_small_region scrolling_fullscreen scrolling_top_region scrolling_top_small_region sync_medium_cells unicode 
5 _ 4 5 _ _ _ 7 _ _ 7 _ 
65 _ 3 5 _ _ _ 7 _ _ 7 _ 
5 _ 4 5 _ _ _ 6 _ _ 7 _ 
6 _ 3 6 _ _ _ 6 _ _ 73 _ 
5 _ 3 70 _ _ _ 6 _ _ 7 _ 
5 _ 3 6 _ _ _ 7 _ _ 8 _ 
117 _ 3 5 _ _ _ 6 _ _ 7 _ 
27 _ 22 5 _ _ _ 7 _ _ 7 _ 
33 _ 14 5 _ _ _ 64 _ _ 73 _ 
6 _ 3 5 _ _ _ 6 _ _ 6 _ 
6 _ 3 6 _ _ _ 6 _ _ 8 _ 
6 _ 3 74 _ _ _ 6 _ _ 6 _ 
92 _ 3 5 _ _ _ 6 _ _ 75 _ 
5 _ 4 5 _ _ _ 8 _ _ 7 _ 
6 _ 3 5 _ _ _ 52 _ _ 7 _ 
7 _ 3 5 _ _ _ 10 _ _ 6 _ 
85 _ 4 72 _ _ _ 8 _ _ 6 _ 
5 _ 23 5 _ _ _ 7 _ _ 74 _ 
6 _ 16 5 _ _ _ 7 _ _ 8 _ 
6 _ 4 5 _ _ _ 9 _ _ 9 _ 
6 _ 4 5 _ _ _ 49 _ _ 7 _ 
6 _ 3 5 _ _ _ 7 _ _ 75 _ 
116 _ 4 73 _ _ _ 6 _ _ 9 _ 
27 _ 4 5 _ _ _ 6 _ _ 6 _ 
37 _ 4 5 _ _ _ 6 _ _ 6 _ 
7 _ 20 5 _ _ _ 7 _ _ 74 _ 
6 _ 19 5 _ _ _ 5 _ _ 6 _ 
6 _ 3 5 _ _ _ 6 _ _ 7 _ 
6 _ 3 5 _ _ _ 7 _ _ 7 _ 
5 _ 4 72 _ _ _ 67 _ _ 6 _ 
137 _ 4 6 _ _ _ 9 _ _ 73 _ 
13 _ 4 5 _ _ _ 7 _ _ 7 _ 
6 _ 4 5 _ _ _ 8 _ _ 8 _ 
5 _ 4 6 _ _ _ 7 _ _ 7 _ 
5 _ 35 71 _ _ _ 43 _ _ 73 _ 
5 _ 4 5 _ _ _ 6 _ _ 6 _ 
114 _ 4 5 _ _ _ 7 _ _ 6 _ 
5 _ 4 6 _ _ _ 7 _ _ 7 _ 
5 _ 4 5 _ _ _ 6 _ _ 9 _ 
5 _ 4 5 _ _ _ 9 _ _ 73 _ 
68 _ 4 72 _ _ _ 7 _ _ 8 _ 
19 _ 4 5 _ _ _ 8 _ _ 7 _ 
5 _ 37 5 _ _ _ 8 _ _ 8 _ 
5 _ 3 5 _ _ _ 66 _ _ 75 _ 
58 _ 4 5 _ _ _ 8 _ _ 8 _ 
6 _ 3 5 _ _ _ 7 _ _ 8 _ 
54 _ 3 73 _ _ _ 7 _ _ 8 _ 
5 _ 3 6 _ _ _ 6 _ _ 74 _ 
5 _ 3 5 _ _ _ 7 _ _ 7 _ 
56 _ 3 5 _ _ _ 7 _ _ 7 _ 
6 _ 3 5 _ _ _ 6 _ _ 7 _ 
5 _ 3 5 _ _ _ 6 _ _ 72 _ 
66 _ 34 71 _ _ _ 69 _ _ 6 _ 
22 _ 3 5 _ _ _ 7 _ _ 7 _ 
6 _ 4 5 _ _ _ 6 _ _ 8 _ 
6 _ 4 5 _ _ _ 7 _ _ 7 _ 
7 _ 4 5 _ _ _ 7 _ _ 75 _ 
6 _ 4 5 _ _ _ 6 _ _ 8 _ 
6 _ 4 73 _ _ _ 6 _ _ 7 _ 
121 _ 4 5 _ _ _ 6 _ _ 8 _ 
6 _ 20 6 _ _ _ 6 _ _ 73 _ 
5 _ 15 6 _ _ _ 8 _ _ 7 _ 
70 _ 4 6 _ _ _ 73 _ _ 7 _ 
5 _ 4 5 _ _ _ 7 _ _ 6 _ 
5 _ 4 71 _ _ _ 8 _ _ 106 _ 
5 _ 4 6 _ _ _ 8 _ _ 135 _ 
109 _ 4 6 _ _ _ 9 _ _ 9 _ 
7 _ 4 5 _ _ _ 45 _ _ 7 _ 
6 _ 21 5 _ _ _ 6 _ _ 7 _ 
59 _ 22 71 _ _ _ 9 _ _ 7 _ 
6 _ 4 5 _ _ _ 7 _ _ 10 _ 
7 _ 4 6 _ _ _ 8 _ _ 92 _ 
7 _ 4 6 _ _ _ 7 _ _ 7 _ 
7 _ 4 6 _ _ _ 8 _ _ 6 _ 
111 _ 4 5 _ _ _ 53 _ _ 54 _ 
27 _ 3 73 _ _ _ 6 _ _ 7 _ 
6 _ 3 5 _ _ _ 6 _ _ 7 _ 
51 _ 3 5 _ _ _ 5 _ _ 7 _ 
7 _ 35 6 _ _ _ 6 _ _ 61 _ 
7 _ 5 5 _ _ _ 6 _ _ 18 _ 
7 _ 4 72 _ _ _ 6 _ _ 7 _ 
71 _ 4 5 _ _ _ 7 _ _ 6 _ 
19 _ 4 6 _ _ _ 6 _ _ 7 _ 
34 _ 4 5 _ _ _ 7 _ _ 71 _ 
7 _ 4 5 _ _ _ 86 _ _ 6 _ 
6 _ 36 5 _ _ _ 8 _ _ 5 _ 
7 _ 5 71 _ _ _ 7 _ _ 6 _ 
7 _ 4 5 _ _ _ 6 _ _ 6 _ 
106 _ 4 5 _ _ _ 8 _ _ 6 _ 
20 _ 4 6 _ _ _ 6 _ _ 72 _ 
5 _ 4 5 _ _ _ 5 _ _ 6 _ 
5 _ 4 5 _ _ _ 57 _ _ 6 _ 
64 _ 40 71 _ _ _ 9 _ _ 6 _ 
5 _ 4 5 _ _ _ 6 _ _ 6 _ 
5 _ 4 6 _ _ _ 7 _ _ 72 _ 
6 _ 4 6 _ _ _ 6 _ _ 6 _ 
7 _ 5 5 _ _ _ 46 _ _ 5 _ 
5 _ 4 5 _ _ _ 7 _ _ 5 _ 
114 _ 4 71 _ _ _ 7 _ _ 5 _ 
5 _ 19 5 _ _ _ 6 _ _ 5 _ 
5 _ 21 5 _ _ _ 6 _ _ 73 _ 
5 _ 4 5 _ _ _ 6 _ _ 5 _ 
5 _ 3 5 _ _ _ 6 _ _ 7 _ 
111 _ 4 5 _ _ _ 6 _ _ 6 _ 
7 _ 4 5 _ _ _ 7 _ _ 5 _ 
6 _ 4 72 _ _ _ 8 _ _ 71 _ 
7 _ 6 5 _ _ _ 73 _ _ 6 _ 
81 _ 37 5 _ _ _ 8 _ _ 5 _ 
6 _ 3 5 _ _ _ 9 _ _ 5 _ 
6 _ 4 5 _ _ _ 7 _ _ 6 _ 
6 _ 3 5 _ _ _ 7 _ _ 6 _ 
75 _ 4 72 _ _ _ 8 _ _ 71 _ 
32 _ 4 5 _ _ _ 7 _ _ 5 _ 
6 _ 5 5 _ _ _ 8 _ _ 6 _ 
7 _ 37 5 _ _ _ 58 _ _ 6 _ 
6 _ 4 5 _ _ _ 6 _ _ 6 _ 
7 _ 3 6 _ _ _ 7 _ _ 74 _ 
85 _ 3 71 _ _ _ 7 _ _ 5 _ 
6 _ 3 5 _ _ _ 6 _ _ 5 _ 
6 _ 4 6 _ _ _ 6 _ _ 5 _ 
63 _ 4 5 _ _ _ 6 _ _ 5 _ 
38 _ 5 5 _ _ _ 53 _ _ 5 _ 
6 _ 36 5 _ _ _ 8 _ _ 73 _ 
6 _ 4 73 _ _ _ 7 _ _ 6 _ 
7 _ 4 6 _ _ _ 8 _ _ 5 _ 
5 _ 3 6 _ _ _ 6 _ _ 6 _ 
6 _ 3 6 _ _ _ 7 _ _ 6 _ 
101 _ 4 5 _ _ _ 7 _ _ 72 _ 
19 _ 4 71 _ _ _ 53 _ _ 6 _ 
5 _ 4 6 _ _ _ 6 _ _ 6 _ 
5 _ 36 5 _ _ _ 7 _ _ 5 _ 
72 _ 3 5 _ _ _ 6 _ _ 6 _ 
5 _ 4 5 _ _ _ 6 _ _ 5 _ 
45 _ 3 5 _ _ _ 7 _ _ 72 _ 
5 _ 3 72 _ _ _ 8 _ _ 6 _ 
5 _ 4 6 _ _ _ 54 _ _ 6 _ 
6 _ 3 6 _ _ _ 7 _ _ 6 _ 
77 _ 4 6 _ _ _ 5 _ _ 6 _ 
7 _ 3 6 _ _ _ 5 _ _ 71 _ 
5 _ 36 5 _ _ _ 8 _ _ 6 _ 
70 _ 3 71 _ _ _ 7 _ _ 5 _ 
5 _ 4 5 _ _ _ 5 _ _ 6 _ 
5 _ 4 5 _ _ _ 6 _ _ 5 _ 
6 _ 4 5 _ _ _ 7 _ _ 5 _ 
6 _ 3 5 _ _ _ 66 _ _ 71 _ 
5 _ 4 5 _ _ _ 8 _ _ 5 _ 
109 _ 4 72 _ _ _ 10 _ _ 6 _ 
7 _ 4 6 _ _ _ 9 _ _ 6 _ 
7 _ 33 5 _ _ _ 8 _ _ 6 _ 
6 _ 3 7 _ _ _ 7 _ _ 73 _ 
6 _ 3 5 _ _ _ 7 _ _ 6 _ 
135 _ 3 5 _ _ _ 8 _ _ 6 _ 
24 _ 4 99 _ _ _ 60 _ _ 6 _ 
6 _ 4 37 _ _ _ 10 _ _ 5 _ 
6 _ 3 5 _ _ _ 8 _ _ 72 _ 
89 _ 3 5 _ _ _ 7 _ _ 5 _ 
6 _ 3 5 _ _ _ 7 _ _ 5 _ 
7 _ 34 5 _ _ _ 6 _ _ 6 _ 
6 _ 3 5 _ _ _ 7 _ _ 6 _ 
100 _ 4 101 _ _ _ 57 _ _ 6 _ 
7 _ 4 5 _ _ _ 9 _ _ 73 _ 
7 _ 4 60 _ _ _ 9 _ _ 6 _ 
7 _ 3 5 _ _ _ 6 _ _ 6 _ 
7 _ 3 65 _ _ _ 7 _ _ 6 _ 
114 _ 4 6 _ _ _ 6 _ _ 6 _ 
6 _ 37 6 _ _ _ 6 _ _ 72 _ 
44 _ 4 5 _ _ _ 6 _ _ 6 _ 
6 _ 4 5 _ _ _ 6 _ _ 6 _ 
6 _ 3 106 _ _ _ 6 _ _ 5 _ 
6 _ 4 69 _ _ _ 6 _ _ 6 _ 
7 _ 4 5 _ _ _ 6 _ _ 72 _ 
127 _ 3 5 _ _ _ 6 _ _ 6 _ 
15 _ 4 86 _ _ _ 7 _ _ 6 _ 
7 _ 3 66 _ _ _ 91 _ _ 5 _ 
_ _ 37 7 _ _ _ 7 _ _ 6 _ 
_ _ 4 5 _ _ _ 8 _ _ 6 _ 
_ _ 4 5 _ _ _ 10 _ _ 73 _ 
_ _ 4 5 _ _ _ 9 _ _ 5 _ 
_ _ 4 68 _ _ _ 6 _ _ 6 _ 
_ _ 4 10 _ _ _ 6 _ _ 6 _ 
_ _ 4 5 _ _ _ 7 _ _ 6 _ 
_ _ 19 5 _ _ _ 6 _ _ 72 _ 
_ _ 19 5 _ _ _ 68 _ _ 6 _ 
_ _ 4 6 _ _ _ 8 _ _ 6 _ 
_ _ 3 5 _ _ _ 6 _ _ 6 _ 
_ _ 3 107 _ _ _ 8 _ _ 6 _ 
_ _ 4 5 _ _ _ 8 _ _ 72 _ 
_ _ 3 5 _ _ _ 9 _ _ 5 _ 
_ _ 3 5 _ _ _ 6 _ _ 6 _ 
_ _ 4 6 _ _ _ 58 _ _ 6 _ 
_ _ 36 103 _ _ _ 6 _ _ 6 _ 
_ _ 3 5 _ _ _ 7 _ _ 6 _ 
_ _ 3 94 _ _ _ 7 _ _ 73 _ 
_ _ 3 99 _ _ _ 7 _ _ 7 _ 
_ _ 3 6 _ _ _ 7 _ _ 6 _ 
_ _ 4 5 _ _ _ 7 _ _ 6 _ 
_ _ 3 6 _ _ _ 53 _ _ 6 _ 
_ _ 4 5 _ _ _ 7 _ _ 74 _ 
_ _ 3 5 _ _ _ 8 _ _ 8 _ 
_ _ 36 72 _ _ _ 7 _ _ 7 _ 
_ _ 3 5 _ _ _ 6 _ _ 110 _ 
_ _ 3 6 _ _ _ 7 _ _ 41 _ 
_ _ 3 5 _ _ _ 6 _ _ 7 _ 
_ _ 4 5 _ _ _ 6 _ _ 7 _ 
_ _ 3 5 _ _ _ 6 _ _ 6 _ 
_ _ 3 71 _ _ _ 6 _ _ 9 _ 
_ _ 4 6 _ _ _ 76 _ _ 130 _ 
_ _ 4 6 _ _ _ 7 _ _ 7 _ 
_ _ 34 6 _ _ _ 6 _ _ 8 _ 
_ _ 4 5 _ _ _ 6 _ _ 7 _ 
_ _ 4 5 _ _ _ 6 _ _ 73 _ 
_ _ 4 71 _ _ _ 6 _ _ 8 _ 
_ _ 4 5 _ _ _ 6 _ _ 6 _ 
_ _ 3 5 _ _ _ 7 _ _ 7 _ 
_ _ 3 5 _ _ _ 6 _ _ 6 _ 
_ _ 3 5 _ _ _ 7 _ _ 72 _ 
_ _ 67 5 _ _ _ 6 _ _ 5 _ 
_ _ 4 71 _ _ _ 75 _ _ 7 _ 
_ _ 4 5 _ _ _ 6 _ _ 8 _ 
_ _ 3 5 _ _ _ 7 _ _ 7 _ 
_ _ 3 5 _ _ _ 7 _ _ 73 _ 
_ _ 4 5 _ _ _ 7 _ _ 6 _ 
_ _ 3 5 _ _ _ 7 _ _ 6 _ 
_ _ 3 72 _ _ _ 7 _ _ 6 _ 
_ _ 3 5 _ _ _ 6 _ _ 6 _ 
_ _ 38 5 _ _ _ 6 _ _ 72 _ 
_ _ 4 5 _ _ _ 6 _ _ 6 _ 
_ _ 4 5 _ _ _ 75 _ _ 5 _ 
_ _ 3 5 _ _ _ 6 _ _ 5 _ 
_ _ 4 5 _ _ _ 6 _ _ 5 _ 
_ _ 3 73 _ _ _ 7 _ _ 5 _ 
_ _ 3 6 _ _ _ 6 _ _ 103 _ 
_ _ 3 6 _ _ _ 7 _ _ 5 _ 
_ _ 34 5 _ _ _ 6 _ _ 62 _ 
_ _ 3 6 _ _ _ 6 _ _ 5 _ 
_ _ 3 71 _ _ _ 6 _ _ 6 _ 
_ _ 3 5 _ _ _ 6 _ _ 6 _ 
_ _ 3 5 _ _ _ 6 _ _ 6 _ 
_ _ 3 5 _ _ _ 76 _ _ 72 _ 
_ _ 4 6 _ _ _ 7 _ _ 6 _ 
_ _ 3 5 _ _ _ 6 _ _ 6 _ 
_ _ 3 71 _ _ _ 7 _ _ 5 _ 
_ _ 72 6 _ _ _ 7 _ _ 5 _ 
_ _ 3 5 _ _ _ 7 _ _ 5 _ 
_ _ 3 5 _ _ _ 8 _ _ 79 _ 
_ _ 3 5 _ _ _ 6 _ _ 8 _ 
_ _ 3 5 _ _ _ 6 _ _ 5 _ 
_ _ 4 72 _ _ _ 66 _ _ 50 _ 
_ _ 3 6 _ _ _ 7 _ _ 6 _ 
_ _ 4 5 _ _ _ 6 _ _ 6 _ 
_ _ 4 5 _ _ _ 6 _ _ 5 _ 
_ _ 36 5 _ _ _ 6 _ _ 5 _ 
_ _ 3 5 _ _ _ 7 _ _ 70 _ 
_ _ 3 71 _ _ _ 7 _ _ 6 _ 
_ _ 4 5 _ _ _ 7 _ _ 6 _ 
_ _ 4 6 _ _ _ 6 _ _ 6 _ 
_ _ 4 5 _ _ _ 6 _ _ 5 _ 
_ _ 4 5 _ _ _ 74 _ _ 5 _ 
_ _ 4 5 _ _ _ 6 _ _ 72 _ 
_ _ 4 71 _ _ _ 8 _ _ 5 _ 
_ _ 36 5 _ _ _ 8 _ _ 5 _ 
_ _ 4 5 _ _ _ 8 _ _ 5 _ 
_ _ 3 6 _ _ _ 7 _ _ 5 _ 
_ _ 3 5 _ _ _ 8 _ _ 5 _ 
_ _ 4 5 _ _ _ 7 _ _ 105 _ 
_ _ 4 107 _ _ _ 7 _ _ _ _ 
_ _ 4 5 _ _ _ 7 _ _ _ _ 
_ _ 4 5 _ _ _ 78 _ _ _ _ 
_ _ 35 6 _ _ _ 6 _ _ _ _ 
_ _ 4 5 _ _ _ 6 _ _ _ _ 
_ _ 3 71 _ _ _ 7 _ _ _ _ 
_ _ 4 5 _ _ _ 6 _ _ _ _ 
_ _ 4 5 _ _ _ 6 _ _ _ _ 
_ _ 4 5 _ _ _ 6 _ _ _ _ 
_ _ 4 5 _ _ _ 7 _ _ _ _ 
_ _ 4 6 _ _ _ 6 _ _ _ _ 
_ _ 38 73 _ _ _ 6 _ _ _ _ 
_ _ 4 5 _ _ _ 6 _ _ _ _ 
_ _ 3 5 _ _ _ 6 _ _ _ _ 
_ _ 4 5 _ _ _ 84 _ _ _ _ 
