cursor_motion dense_cells light_cells medium_cells scrolling scrolling_bottom_region scrolling_bottom_small_region scrolling_fullscreen scrolling_top_region scrolling_top_small_region sync_medium_cells unicode 
82 _ 4 _ _ _ _ _ _ _ _ _ 
7 _ 40 _ _ _ _ _ _ _ _ _ 
44 _ 42 _ _ _ _ _ _ _ _ _ 
80 _ 5 _ _ _ _ _ _ _ _ _ 
8 _ 34 _ _ _ _ _ _ _ _ _ 
42 _ 76 _ _ _ _ _ _ _ _ _ 
83 _ 4 _ _ _ _ _ _ _ _ _ 
6 _ 4 _ _ _ _ _ _ _ _ _ 
45 _ 30 _ _ _ _ _ _ _ _ _ 
47 _ 4 _ _ _ _ _ _ _ _ _ 
95 _ 86 _ _ _ _ _ _ _ _ _ 
7 _ 5 _ _ _ _ _ _ _ _ _ 
100 _ 54 _ _ _ _ _ _ _ _ _ 
7 _ 5 _ _ _ _ _ _ _ _ _ 
79 _ 5 _ _ _ _ _ _ _ _ _ 
6 _ 34 _ _ _ _ _ _ _ _ _ 
81 _ 57 _ _ _ _ _ _ _ _ _ 
78 _ 5 _ _ _ _ _ _ _ _ _ 
8 _ 5 _ _ _ _ _ _ _ _ _ 
77 _ 34 _ _ _ _ _ _ _ _ _ 
7 _ 4 _ _ _ _ _ _ _ _ _ 
39 _ 62 _ _ _ _ _ _ _ _ _ 
45 _ 5 _ _ _ _ _ _ _ _ _ 
6 _ 54 _ _ _ _ _ _ _ _ _ 
84 _ 4 _ _ _ _ _ _ _ _ _ 
40 _ 4 _ _ _ _ _ _ _ _ _ 
45 _ 66 _ _ _ _ _ _ _ _ _ 
80 _ 4 _ _ _ _ _ _ _ _ _ 
7 _ 29 _ _ _ _ _ _ _ _ _ 
85 _ 4 _ _ _ _ _ _ _ _ _ 
7 _ 30 _ _ _ _ _ _ _ _ _ 
33 _ 57 _ _ _ _ _ _ _ _ _ 
89 _ 6 _ _ _ _ _ _ _ _ _ 
8 _ 31 _ _ _ _ _ _ _ _ _ 
72 _ 5 _ _ _ _ _ _ _ _ _ 
7 _ 60 _ _ _ _ _ _ _ _ _ 
79 _ 4 _ _ _ _ _ _ _ _ _ 
76 _ 4 _ _ _ _ _ _ _ _ _ 
8 _ 68 _ _ _ _ _ _ _ _ _ 
81 _ 5 _ _ _ _ _ _ _ _ _ 
7 _ 25 _ _ _ _ _ _ _ _ _ 
40 _ _ _ _ _ _ _ _ _ _ _ 
51 _ _ _ _ _ _ _ _ _ _ _ 
45 _ _ _ _ _ _ _ _ _ _ _ 
89 _ _ _ _ _ _ _ _ _ _ _ 
61 _ _ _ _ _ _ _ _ _ _ _ 
45 _ _ _ _ _ _ _ _ _ _ _ 
9 _ _ _ _ _ _ _ _ _ _ _ 
38 _ _ _ _ _ _ _ _ _ _ _ 
89 _ _ _ _ _ _ _ _ _ _ _ 
8 _ _ _ _ _ _ _ _ _ _ _ 
43 _ _ _ _ _ _ _ _ _ _ _ 
39 _ _ _ _ _ _ _ _ _ _ _ 
